"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB"
"391","6MF95","69",3,"1995-04-23 1:35","6MF95 69 3 60BON 1",0,0,1995,4,54.4705,-166.04671,113,468.21585,544,"6MF95_54.4705_-166.04671_1995-04-23 1:35_333",0,275,"4/23/1995",257129
"392","6MF95","70",3,"1995-04-23 4:13","6MF95 70 3 60BON 1",0,0,1995,4,54.359,-165.9415,113,284.53973,472,"6MF95_54.359_-165.9415_1995-04-23 4:13_333",0,275,"4/23/1995",257129
"395","4MF07","43",2,"2007-05-12 16:11","4MF07 43 2 60BON 1",0,0,2007,5,56.62634,-170.06683,132,112.03915,97,"4MF07_56.62634_-170.06683_2007-05-12 16:11_505",0,446,"5/12/2007",234261
"397","6MF97","3",2,"1997-05-04 14:22","6MF97 3 2 60BON 1",0,0,1997,5,53.59933,-169.056,124,410.82126,1700,"6MF97_53.59933_-169.056_1997-05-04 14:22_333",0,132,"5/4/1997",247943
"399","4MF99","16",1,"1999-05-20 12:48","4MF99 16 1 60BON 1",0,0,1999,5,54.1735,-167.1927,140,329.38879,1410,"4MF99_54.1735_-167.1927_1999-05-20 12:48_505",0,112,"5/20/1999",246131
"401","4MF94","146",3,"1994-04-28 19:57","4MF94 146 3 60BON 1",0,0,1994,4,54.27833,-165.7567,118,106.6999,77,"4MF94_54.27833_-165.7567_1994-04-28 19:57_333",0,158,"4/28/1994",261909
"402","4MF94","28",1,"1994-04-18 0:08","4MF94 28 1 60BON 1",0,0,1994,4,55.095,-167.63831,108,237.7056,297,"4MF94_55.095_-167.63831_1994-04-18 0:08_333",0,158,"4/18/1994",261909
"403","4MF94","51",1,"1994-04-20 2:13","4MF94 51 1 60BON 1",0,0,1994,4,53.955,-168.4767,110,311.32599,2080,"4MF94_53.955_-168.4767_1994-04-20 2:13_333",0,158,"4/20/1994",261909
"405","4MF07","75",2,"2007-05-16 2:27","4MF07 75 2 60BON 1",0,0,2007,5,55.912,-172.26134,136,381.58029,3125,"4MF07_55.912_-172.26134_2007-05-16 2:27_505",0,446,"5/16/2007",234261
"409","5MF05","130",1,"2005-05-19 18:02","5MF05 130 1 60BON 1",0,0,2005,5,54.47033,-166.0385,139,406.96249,539,"5MF05_54.47033_-166.0385_2005-05-19 18:02_505",0,283,"5/19/2005",249168
"410","2MF92","G019A",1,"1992-04-17 22:52","2MF92 G019A 1 60BON 1",0,0,1992,4,54.37667,-168.0567,107,136.53854,984,"2MF92_54.37667_-168.0567_1992-04-17 22:52_333",0,36,"4/17/1992",276969
"411","2MF92","G035A",1,"1992-04-18 18:09","2MF92 G035A 1 60BON 1",0,0,1992,4,54.78667,-169.10831,108,153.00787,1800,"2MF92_54.78667_-169.10831_1992-04-18 18:09_333",0,36,"4/18/1992",276969
"412","6MF97","11",2,"1997-05-05 17:53","6MF97 11 2 60BON 1",0,0,1997,5,55.33867,-168.2325,125,611.17304,1327,"6MF97_55.33867_-168.2325_1997-05-05 17:53_333",0,132,"5/5/1997",247943
"413","6MF95","136",1,"1995-04-29 14:41","6MF95 136 1 60BON 1",7.08393,8.74559,1995,4,56.185,-164.18781,119,114.34334,89,"6MF95_56.185_-164.18781_1995-04-29 14:41_333",1,275,"4/29/1995",257129
"414","6MF95","17",1,"1995-04-18 18:37","6MF95 17 1 60BON 1",0,0,1995,4,54.32683,-167.3752,108,240.24986,831,"6MF95_54.32683_-167.3752_1995-04-18 18:37_333",0,275,"4/18/1995",257129
"420","6MF95","24",1,"1995-04-19 8:29","6MF95 24 1 60BON 1",0,0,1995,4,55.32867,-167.828,109,264.35419,196,"6MF95_55.32867_-167.828_1995-04-19 8:29_333",0,275,"4/19/1995",257129
"421","6MF95","4",1,"1995-04-17 14:21","6MF95 4 1 60BON 1",0,0,1995,4,54.66033,-168.15151,107,333.57385,1692,"6MF95_54.66033_-168.15151_1995-04-17 14:21_333",0,275,"4/17/1995",257129
"431","5MF05","133",1,"2005-05-20 0:21","5MF05 133 1 60BON 1",0,0,2005,5,54.78483,-166.83083,140,423.5155,293,"5MF05_54.78483_-166.83083_2005-05-20 0:21_505",0,283,"5/20/2005",249168
"432","5MF05","17",2,"2005-05-11 23:37","5MF05 17 2 60BON 1",21.86409,62.46883,2005,5,56.24133,-161.21384,131,80.03992,47,"5MF05_56.24133_-161.21384_2005-05-11 23:37_505",5,283,"5/11/2005",249168
"445","6MF95","58",2,"1995-04-22 6:23","6MF95 58 2 60BON 1",0,0,1995,4,54.71733,-164.7695,112,60.5541,41,"6MF95_54.71733_-164.7695_1995-04-22 6:23_333",0,275,"4/22/1995",257129
"446","5MF97","30",1,"1997-04-20 1:26","5MF97 30 1 60BON 1",0,0,1997,4,56.21017,-166.502,110,155.91405,113,"5MF97_56.21017_-166.502_1997-04-20 1:26_333",0,132,"4/20/1997",247943
